ID,Label,Numero Caramelle Trovate,Falsi Positivi,Falsi Negativi,Totale,Totale Aspettato,Differenza,Differenza totale,Caramelle Aspettate_per_Label
2CE510F9-3F01-479D-9381-776BE95D23AD,MC,33,0,0,49,49,,0,33
2CE510F9-3F01-479D-9381-776BE95D23AD,R,5,0,0,49,49,,0,5
2CE510F9-3F01-479D-9381-776BE95D23AD,B,11,0,0,49,49,,0,11
0A32E1CB-B7DA-421B-B40A-33C2600C5AFE,MC,3,0,0,41,41,,0,3
0A32E1CB-B7DA-421B-B40A-33C2600C5AFE,G,9,0,0,41,41,,0,9
0A32E1CB-B7DA-421B-B40A-33C2600C5AFE,O,7,0,0,41,41,,0,7
0A32E1CB-B7DA-421B-B40A-33C2600C5AFE,Ow,1,0,0,41,41,,0,1
0A32E1CB-B7DA-421B-B40A-33C2600C5AFE,P,10,0,0,41,41,,0,10
0A32E1CB-B7DA-421B-B40A-33C2600C5AFE,GS,1,0,0,41,41,,0,1
0A32E1CB-B7DA-421B-B40A-33C2600C5AFE,B,10,0,0,41,41,,0,10
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,Gt,3,0,0,37,37,,0,3
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,Ot,4,0,0,37,37,,0,4
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,Pt,2,0,0,37,37,,0,2
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,PSV,1,0,0,37,37,,0,1
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,G,7,0,0,37,37,,0,7
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,Bt,2,0,0,37,37,,0,2
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,MA,1,0,0,37,37,,0,1
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,O,7,0,0,37,37,,0,7
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,P,3,0,0,37,37,,0,3
2A99AE9A-5A9D-49A9-AD92-35B70DD71C46,B,7,0,0,37,37,,0,7
3F0C4147-C353-45AB-B5FF-02D685366B49,Gt,4,0,0,80,79,,-1,4
3F0C4147-C353-45AB-B5FF-02D685366B49,Gg,3,0,0,80,79,,-1,3
3F0C4147-C353-45AB-B5FF-02D685366B49,R,10,0,0,80,79,,-1,10
3F0C4147-C353-45AB-B5FF-02D685366B49,Ot,6,0,0,80,79,,-1,6
3F0C4147-C353-45AB-B5FF-02D685366B49,Rg,1,0,0,80,79,,-1,1
3F0C4147-C353-45AB-B5FF-02D685366B49,Rt,1,0,0,80,79,,-1,1
3F0C4147-C353-45AB-B5FF-02D685366B49,Pt,2,0,0,80,79,,-1,2
3F0C4147-C353-45AB-B5FF-02D685366B49,Bg,2,0,0,80,79,,-1,2
